PRECINCT NUMBER,PRECINCT NAME,DISTRICT NUMBER,DISTRICT NAME,DISTRICT TYPE,DISTRICT TYPE ABBR
1,PRECINCT 1,20,ANC 6C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
1,PRECINCT 1,10,CITY OF WASHINGTON WARD 6,CITY WARD ,WARD
1,PRECINCT 1,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
1,PRECINCT 1,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
1,PRECINCT 1,30,SMD 01-ANC 6C,SINGLE MEMBER DISTRICT,SMD
1,PRECINCT 1,30,SMD 02-ANC 6C,SINGLE MEMBER DISTRICT,SMD
1,PRECINCT 1,30,SMD 03-ANC 6C,SINGLE MEMBER DISTRICT,SMD
1,PRECINCT 1,30,SMD 09-ANC 6C,SINGLE MEMBER DISTRICT,SMD
2,PRECINCT 2,20,ANC 2A SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
2,PRECINCT 2,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
2,PRECINCT 2,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
2,PRECINCT 2,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
2,PRECINCT 2,30,SMD 01-ANC 2A,SINGLE MEMBER DISTRICT,SMD
2,PRECINCT 2,30,SMD 05-ANC 2A,SINGLE MEMBER DISTRICT,SMD
2,PRECINCT 2,30,SMD 06-ANC 2A,SINGLE MEMBER DISTRICT,SMD
