PRECINCT NUMBER,PRECINCT NAME,DISTRICT NUMBER,DISTRICT NAME,DISTRICT TYPE,DISTRICT TYPE ABBR
1,PRECINCT 1,20,ANC 6C SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
1,PRECINCT 1,10,CITY OF WASHINGTON WARD 6,CITY WARD ,WARD
1,PRECINCT 1,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
1,PRECINCT 1,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
1,PRECINCT 1,30,SMD 01-ANC 6C,SINGLE MEMBER DISTRICT,SMD
1,PRECINCT 1,30,SMD 02-ANC 6C,SINGLE MEMBER DISTRICT,SMD
1,PRECINCT 1,30,SMD 03-ANC 6C,SINGLE MEMBER DISTRICT,SMD
1,PRECINCT 1,30,SMD 09-ANC 6C,SINGLE MEMBER DISTRICT,SMD
2,PRECINCT 2,20,ANC 2A SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
2,PRECINCT 2,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
2,PRECINCT 2,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
2,PRECINCT 2,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
2,PRECINCT 2,30,SMD 01-ANC 2A,SINGLE MEMBER DISTRICT,SMD
2,PRECINCT 2,30,SMD 05-ANC 2A,SINGLE MEMBER DISTRICT,SMD
2,PRECINCT 2,30,SMD 06-ANC 2A,SINGLE MEMBER DISTRICT,SMD
3,PRECINCT 3,20,ANC 2A SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
3,PRECINCT 3,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
3,PRECINCT 3,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
3,PRECINCT 3,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
3,PRECINCT 3,30,SMD 03-ANC 2A,SINGLE MEMBER DISTRICT,SMD
3,PRECINCT 3,30,SMD 04-ANC 2A,SINGLE MEMBER DISTRICT,SMD
3,PRECINCT 3,30,SMD 05-ANC 2A,SINGLE MEMBER DISTRICT,SMD
3,PRECINCT 3,30,SMD 06-ANC 2A,SINGLE MEMBER DISTRICT,SMD
4,PRECINCT 4,20,ANC 2A SMD 1-6,ADVISORY NEIGHBORHOOD COMM,ANC
4,PRECINCT 4,20,ANC 2B SMD 1-9,ADVISORY NEIGHBORHOOD COMM,ANC
4,PRECINCT 4,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
4,PRECINCT 4,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
4,PRECINCT 4,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
4,PRECINCT 4,30,SMD 02-ANC 2A,SINGLE MEMBER DISTRICT,SMD
4,PRECINCT 4,30,SMD 03-ANC 2A,SINGLE MEMBER DISTRICT,SMD
4,PRECINCT 4,30,SMD 06-ANC 2A,SINGLE MEMBER DISTRICT,SMD
4,PRECINCT 4,30,SMD 06-ANC 2B,SINGLE MEMBER DISTRICT,SMD
5,PRECINCT 5,20,ANC 2E SMD 1-7,ADVISORY NEIGHBORHOOD COMM,ANC
5,PRECINCT 5,10,CITY OF WASHINGTON WARD 2,CITY WARD ,WARD
5,PRECINCT 5,2,DISTRICT OF COLUMBIA,CITYWIDE DISTRICT,CITYWI
5,PRECINCT 5,1,1ST CONGRESSIONAL DIST-DEM,CONGRESSIONAL DISTRICT,COND
5,PRECINCT 5,30,SMD 02-ANC 2E,SINGLE MEMBER DISTRICT,SMD
5,PRECINCT 5,30,SMD 05-ANC 2E,SINGLE MEMBER DISTRICT,SMD
5,PRECINCT 5,30,SMD 06-ANC 2E,SINGLE MEMBER DISTRICT,SMD
5,PRECINCT 5,30,SMD 07-ANC 2E,SINGLE MEMBER DISTRICT,SMD
